state,district,year,annual_rainfall_mm
Arunachal Pradesh,Lohit,2021,3090.4
Arunachal Pradesh,Lohit,2022,2783.6
Arunachal Pradesh,Lohit,2023,2740.1
Arunachal Pradesh,Lower Subansiri,2022,2693.9
Arunachal Pradesh,PAPUMPARE,2021,2799.9
Arunachal Pradesh,Papumpare,2022,2870.0
Arunachal Pradesh,Papumpare,2023,2836.5
Arunachal Pradesh,TINSUKIA,2019,2770.3
Arunachal Pradesh,Tinsukia,2020,2809.6
Arunachal Pradesh,Tirap,2019,4048.0
Arunachal Pradesh,Tirap,2020,3770.9
Arunachal Pradesh,Tirap,2021,3674.6
Arunachal Pradesh,Tirap,2022,3370.4
Arunachal Pradesh,Tirap,2023,3460.4
Assam,Baksa,2019,2806.7
Assam,Baksa,2021,2385.6
Assam,Baksa,2022,2217.1
Assam,Baksa,2023,2244.3
Assam,Barpeta,2020,3543.3
Assam,Barpeta,2021,3344.9
Assam,Barpeta,2022,3189.2
Assam,Biswanath,2019,2566.7
Assam,Biswanath,2020,2678.1
Assam,Biswanath,2021,2409.7
Assam,Biswanath,2022,2243.0
Assam,Biswanath,2023,2219.4
Assam,Bongaigaon,2020,3451.4
Assam,Bongaigaon,2021,3327.6
Assam,Bongaigaon,2022,2972.1
Assam,Bongaigaon,2023,3031.3
Assam,Cachar,2021,3029.5
Assam,Cachar,2023,2780.8
Assam,Chirang,2020,2801.5
Assam,Chirang,2021,2542.2
Assam,Chirang,2022,2249.8
Assam,DHEMAJI,2021,2429.1
Assam,DHEMAJI,2022,2261.2
Assam,DIBRUGARH,2019,2751.8
Assam,DIBRUGARH,2022,2291.9
Assam,Darrang,2019,2177.2
Assam,Darrang,2020,2134.6
Assam,Darrang,2021,1851.3
Assam,Darrang,2022,1799.6
Assam,Darrang,2023,1915.5
Assam,Dhalai,2019,2691.9
Assam,Dhalai,2020,2641.5
Assam,Dhemaji,2020,2672.4
Assam,Dhemaji,2022,2419.1
Assam,Dhemaji,2023,2247.6
Assam,Dhubri,2019,3024.0
Assam,Dhubri,2020,3022.9
Assam,Dhubri,2021,2605.4
Assam,Dhubri,2022,2598.4
Assam,Dhubri,2023,2506.9
Assam,Dibrugarh,2019,2849.5
Assam,Dibrugarh,2020,2823.9
Assam,Dibrugarh,2021,2540.1
Assam,Dibrugarh,2022,2304.7
Assam,Dibrugarh,2023,2483.8
Assam,Dimapur,2020,1397.9
Assam,East Garo Hills,2019,2615.2
Assam,East Garo Hills,2020,2552.4
Assam,East Kaarbi-Anglong,2021,2451.9
Assam,East Karbi Anglong,2023,2348.1
Assam,East Siang,2020,4185.2
Assam,Goalpara,2019,2836.3
Assam,Goalpara,2020,2730.3
Assam,Goalpara,2021,2586.6
Assam,Goalpara,2023,2342.0
Assam,Golaghat,2019,1884.1
Assam,Golaghat,2020,1811.2
Assam,Golaghat,2021,1736.6
Assam,Golaghat,2023,1522.6
Assam,Hailakandi,2019,2863.9
Assam,Hailakandi,2021,2517.9
Assam,Hailakandi,2022,2592.5
Assam,Hailakandi,2023,2580.7
Assam,Hojai,2019,2634.4
Assam,Hojai,2022,2344.0
Assam,Hojai,2023,2380.3
Assam,Jorhat,2019,2303.9
Assam,Jorhat,2020,2277.2
Assam,Jorhat,2022,1907.5
Assam,Jorhat,2023,1878.3
Assam,Kamrup,2020,2055.1
Assam,Kamrup,2021,1867.2
Assam,Kamrup,2022,1727.3
Assam,Kamrup,2023,1677.2
Assam,Kamrup (M),2019,2659.1
Assam,Kamrup (M),2021,2484.7
Assam,Kamrup Metro,2021,2526.3
Assam,Karbi Anglong,2019,1532.2
Assam,Karbi Anglong,2020,1502.6
Assam,Karbi Anglong,2021,1346.4
Assam,Karbi Anglong,2022,1208.1
Assam,Karimganj,2021,3492.0
Assam,Karimganj,2022,3568.5
Assam,Karimganj,2023,3468.3
Assam,Kokrajhar,2021,3551.2
Assam,Kokrajhar,2022,3404.6
Assam,LAKHIMPUR,2021,2877.0
Assam,Lakhimpur,2019,2989.6
Assam,Lakhimpur,2020,3010.9
Assam,Lakhimpur,2022,2700.8
Assam,Lakhimpur,2023,2739.3
Assam,Lohit,2020,3368.2
Assam,Lower Dibang Valley,2020,2601.5
Assam,Lower Subansiri,2020,2732.0
Assam,Morigaon,2019,1867.5
Assam,Morigaon,2020,1867.2
Assam,Morigaon,2021,1768.6
Assam,Morigaon,2022,1663.4
Assam,Morigaon,2023,1696.1
Assam,Nagaon,2019,1854.9
Assam,Nagaon,2020,1821.9
Assam,Nagaon,2021,1576.7
Assam,Nagaon,2022,1539.9
Assam,Nagaon,2023,1523.9
Assam,Nalbari,2020,2502.9
Assam,Nalbari,2023,2320.0
Assam,North Garo Hills,2019,2670.9
Assam,North Garo Hills,2020,2780.1
Assam,Papumpare,2020,2710.3
Assam,SONITPUR,2021,2501.4
Assam,SW Garo,2020,2676.0
Assam,Sibsagar,2019,2720.6
Assam,Sibsagar,2020,2673.2
Assam,Sibsagar,2022,2236.8
Assam,Sonitpur,2019,2759.9
Assam,Sonitpur,2020,2616.6
Assam,Sonitpur,2022,2197.4
Assam,Sonitpur,2023,2340.7
Assam,TINSUKIA,2019,2645.6
Assam,TINSUKIA,2022,2439.1
Assam,Tezpur,2023,2411.8
Assam,Tinsukia,2020,2821.4
Assam,Tinsukia,2021,2428.5
Assam,Tinsukia,2022,2223.0
Assam,Tinsukia,2023,2436.2
Assam,Udalguri,2019,2680.4
Assam,Udalguri,2021,2543.2
Assam,Udalguri,2022,2414.1
Assam,Udalguri,2023,2388.5
Assam,W. Karbi Anglong,2019,2644.3
Assam,W. Karbi Anglong,2022,2280.6
Assam,West Garo Hills,2020,2769.2
Assam,West Kaarbi-Anglong,2021,2385.3
Assam,West Karbi Anglong,2023,2230.8
Bihar,Araria,2019,1805.6
Bihar,Araria,2022,1601.2
Bihar,Araria,2023,1564.3
Bihar,Arwal,2019,968.6
Bihar,Arwal,2020,914.7
Bihar,Arwal,2021,875.6
Bihar,Arwal,2022,862.2
Bihar,Arwal,2023,792.4
Bihar,Aurangabad,2019,789.3
Bihar,Aurangabad,2021,735.8
Bihar,Aurangabad,2022,689.4
Bihar,Aurangabad,2023,686.5
Bihar,BEGUSARAI,2019,1224.1
Bihar,BHOJPUR,2020,1130.0
Bihar,BUXAR,2020,1041.2
Bihar,Banka,2019,1195.8
Bihar,Banka,2022,1022.0
Bihar,Banka,2023,1027.6
Bihar,Beguasarai,2020,1362.7
Bihar,Begusarai,2019,1201.1
Bihar,Begusarai,2021,1080.0
Bihar,Begusarai,2022,1055.8
Bihar,Begusarai,2023,1040.6
Bihar,Bhabhua,2019,1347.3
Bihar,Bhabhua,2022,1161.9
Bihar,Bhagalpur,2019,1380.5
Bihar,Bhagalpur,2022,1117.0
Bihar,Bhagalpur,2023,1121.3
Bihar,Bhojpur,2019,1109.7
Bihar,Bhojpur,2021,1049.1
Bihar,Bhojpur,2022,942.5
Bihar,Bhojpur,2023,985.0
Bihar,Buxar,2019,1077.5
Bihar,Buxar,2021,945.0
Bihar,Buxar,2022,925.2
Bihar,Buxar,2023,873.8
Bihar,DARBHANGA,2019,1178.8
Bihar,Darbhanga,2021,1148.2
Bihar,Darbhanga,2022,1041.4
Bihar,Darbhanga,2023,1016.8
Bihar,E Champaran,2019,1323.5
Bihar,E Champaran,2022,1159.0
Bihar,E. Champaran,2020,1271.4
Bihar,E. Champaran,2021,1203.2
Bihar,E.Champaran,2019,1265.9
Bihar,East Chamapran,2023,1077.9
Bihar,Gaya,2019,1107.8
Bihar,Gaya,2020,1098.7
Bihar,Gaya,2021,1007.5
Bihar,Gaya,2022,965.0
Bihar,Gaya,2023,988.6
Bihar,Gopalganj,2019,1251.1
Bihar,Gopalganj,2020,1215.8
Bihar,Gopalganj,2022,1098.9
Bihar,Gopalganj,2023,1042.9
Bihar,Jamui,2019,1210.6
Bihar,Jamui,2022,997.0
Bihar,Jamui,2023,991.5
Bihar,Jehanabad,2020,1369.1
Bihar,Jehanabad,2021,1228.5
Bihar,Jehanabad,2022,1150.6
Bihar,Jehanabad,2023,1118.2
Bihar,Jehnabad,2019,1277.5
Bihar,KATIHAR,2020,1413.3
Bihar,Kaimur,2023,1100.3
Bihar,Katihar,2019,1484.2
Bihar,Katihar,2022,1289.2
Bihar,Katihar,2023,1282.4
Bihar,Katihar (Purnea),2019,1291.5
Bihar,Khagaria,2019,1419.0
Bihar,Khagaria,2022,1187.5
Bihar,Khagaria,2023,1166.2
Bihar,Kishangan,2019,1335.4
Bihar,Kishanganj,2019,2281.2
Bihar,Kishanganj,2022,1915.6
Bihar,Kishanganj,2023,1936.9
Bihar,Lakhisarai,2022,1105.8
Bihar,Lakhisarai,2023,1025.6
Bihar,Lakshisarai,2019,1269.9
Bihar,MADHUBANI,2019,1358.0
Bihar,Madhepura,2019,1461.6
Bihar,Madhepura,2022,1355.7
Bihar,Madhepura,2023,1335.8
Bihar,Madhubani,2019,1419.0
Bihar,Madhubani,2022,1166.8
Bihar,Madhubani,2023,1214.7
Bihar,Munger,2019,1258.1
Bihar,Munger,2022,1042.8
Bihar,Munger,2023,1070.9
Bihar,Muzaffarpur,2019,1257.1
Bihar,Muzaffarpur,2020,1273.0
Bihar,Muzaffarpur,2021,1158.4
Bihar,Muzaffarpur,2022,1035.9
Bihar,Muzzafarpur,2023,1114.4
Bihar,NALANDA,2019,1116.3
Bihar,NAWADA,2019,1146.3
Bihar,Nalanda,2019,1141.7
Bihar,Nalanda,2020,1109.7
Bihar,Nalanda,2021,958.7
Bihar,Nalanda,2022,901.6
Bihar,Nalanda,2023,955.5
Bihar,Nawada,2020,1081.8
Bihar,Nawada,2021,1040.2
Bihar,Nawada,2022,1022.4
Bihar,Nawada,2023,986.7
Bihar,PATNA,2019,1169.1
Bihar,PURNIA,2020,1327.4
Bihar,Patna,2019,1177.3
Bihar,Patna,2020,1176.9
Bihar,Patna,2021,1111.0
Bihar,Patna,2022,998.8
Bihar,Patna,2023,1056.9
Bihar,Purnea,2019,1829.3
Bihar,Purnea,2023,1456.6
Bihar,Purnia,2022,1079.9
Bihar,Rohtas,2019,1002.3
Bihar,Rohtas,2022,849.2
Bihar,Rohtas,2023,856.0
Bihar,SAMASTIPUR,2019,1335.5
Bihar,SHEOHAR,2019,1361.4
Bihar,SITAMARHI,2019,1396.7
Bihar,SUPAUL,2019,1449.5
Bihar,Saharsa,2019,1773.4
Bihar,Saharsa,2022,1641.4
Bihar,Saharsa,2023,1556.6
Bihar,Samastipur,2019,1261.5
Bihar,Samastipur,2020,1325.2
Bihar,Samastipur,2022,1135.2
Bihar,Samastipur,2023,1163.1
Bihar,Samstipur,2021,1216.5
Bihar,Saran,2019,1273.7
Bihar,Saran,2020,1198.2
Bihar,Saran,2021,1076.7
Bihar,Saran,2022,1082.8
Bihar,Saran,2023,1088.8
Bihar,Seikhpura,2020,1372.8
Bihar,Seikhpura,2021,1178.2
Bihar,Seikhpura,2023,1114.1
Bihar,Sheikhpura,2022,974.1
Bihar,Sheohar,2022,1196.2
Bihar,Sheohar,2023,1267.9
Bihar,Sitamarhi,2019,1473.4
Bihar,Sitamarhi,2021,1271.1
Bihar,Sitamarhi,2022,1246.0
Bihar,Sitamarhi,2023,1246.5
Bihar,Siwan,2019,1199.4
Bihar,Siwan,2020,1287.4
Bihar,Siwan,2021,1124.6
Bihar,Siwan,2022,1102.1
Bihar,Siwan,2023,1048.1
Bihar,Suapaul,2022,1173.2
Bihar,Supaul,2023,1184.1
Bihar,VAISHALI,2019,1230.8
Bihar,Vaishali,2020,1334.4
Bihar,Vaishali,2021,1117.1
Bihar,Vaishali,2022,1085.9
Bihar,Vaishali,2023,1155.7
Bihar,W Chamaparan,2022,1179.4
Bihar,W Champaran,2019,1330.3
Bihar,W. Champaran,2019,1338.0
Bihar,West Champaran,2023,1376.5
Bihar,kisanganj,2022,1105.2
Bihar,kishanganj,2019,2260.3
Chandigarh,Chandigarh,2019,1198.0
Chandigarh,Chandigarh,2020,1196.4
Chandigarh,Chandigarh,2021,1090.8
Chandigarh,Chandigarh,2022,1035.5
Chandigarh,Chandigarh,2023,965.2
Chhattisgarh,Balod,2019,1209.3
Chhattisgarh,Balod,2020,1146.0
Chhattisgarh,Balod,2021,1094.4
Chhattisgarh,Balod,2022,1028.0
Chhattisgarh,Balod,2023,1074.1
Chhattisgarh,Baloda Bazar,2021,1072.8
Chhattisgarh,Balodabazar,2019,1163.7
Chhattisgarh,Balodabazar,2020,1156.2
Chhattisgarh,Balodabazar,2021,1117.5
Chhattisgarh,Balodabazar,2022,1046.2
Chhattisgarh,Balodabazar,2023,992.8
Chhattisgarh,Balrampur,2019,1315.6
Chhattisgarh,Balrampur,2021,1260.2
Chhattisgarh,Balrampur,2022,1122.9
Chhattisgarh,Balrampur,2023,1210.8
Chhattisgarh,Bastar,2019,1529.8
Chhattisgarh,Bastar,2020,1423.1
Chhattisgarh,Bastar,2021,1293.0
Chhattisgarh,Bastar,2022,1343.2
Chhattisgarh,Bastar,2023,1264.7
Chhattisgarh,Bemetara,2019,1194.3
Chhattisgarh,Bemetara,2020,1236.5
Chhattisgarh,Bemetara,2021,1137.7
Chhattisgarh,Bemetara,2022,1084.3
Chhattisgarh,Bemetara,2023,1060.2
Chhattisgarh,Bemetra,2019,1195.0
Chhattisgarh,Bemetra,2020,1149.1
Chhattisgarh,Bemetra,2021,1119.2
Chhattisgarh,Bilaspur,2019,1359.8
Chhattisgarh,Bilaspur,2020,1329.5
Chhattisgarh,Bilaspur,2021,1266.2
Chhattisgarh,Bilaspur,2022,1110.3
Chhattisgarh,Bilaspur,2023,1154.4
Chhattisgarh,Dhamtari,2019,1222.6
Chhattisgarh,Dhamtari,2020,1269.8
Chhattisgarh,Dhamtari,2021,1105.6
Chhattisgarh,Dhamtari,2022,1056.6
Chhattisgarh,Dhamtari,2023,1056.5
Chhattisgarh,Durg,2019,1253.6
Chhattisgarh,Durg,2020,1254.1
Chhattisgarh,Durg,2021,1120.9
Chhattisgarh,Durg,2022,1104.3
Chhattisgarh,Durg,2023,1042.3
Chhattisgarh,Gariyaband,2021,1065.7
Chhattisgarh,Gariyaband(Fotak para),2021,1129.1
Chhattisgarh,Gariyabandh,2019,1176.6
Chhattisgarh,Gariyabandh,2020,1254.5
Chhattisgarh,Gariyabandh,2021,1035.9
Chhattisgarh,Gariyabandh,2022,1082.6
Chhattisgarh,Gariyabandh,2023,986.8
Chhattisgarh,JANJGIR CHAMPA,2020,1245.9
Chhattisgarh,JANJGIR CHAMPA,2021,1092.0
Chhattisgarh,Jangir-champa,2019,1269.6
Chhattisgarh,Jangir-champa,2020,1147.9
Chhattisgarh,Janjgir Champa,2022,1039.6
Chhattisgarh,Janjgir Champa,2023,1082.5
Chhattisgarh,Janjgir-Champa,2019,1212.8
Chhattisgarh,Janjgir-Champa,2020,1214.5
Chhattisgarh,Janjgir-Champa,2021,1110.3
Chhattisgarh,Jashpur,2019,1691.1
Chhattisgarh,Jashpur,2020,1704.9
Chhattisgarh,Jashpur,2021,1541.8
Chhattisgarh,Jashpur,2022,1510.0
Chhattisgarh,Jashpur,2023,1385.7
Chhattisgarh,KORBA,2020,1477.1
Chhattisgarh,KORBA,2021,1433.4
Chhattisgarh,Kanker,2019,1257.2
Chhattisgarh,Kanker,2020,1193.7
Chhattisgarh,Kanker,2021,1102.1
Chhattisgarh,Kanker,2022,1011.0
Chhattisgarh,Kanker,2023,1001.8
Chhattisgarh,Kawardha,2019,1205.6
Chhattisgarh,Kawardha,2021,1073.0
Chhattisgarh,Kawardha,2022,1042.7
Chhattisgarh,Kawardha,2023,990.3
Chhattisgarh,Kondagaon,2019,1267.4
Chhattisgarh,Kondagaon,2020,1257.3
Chhattisgarh,Kondagaon,2021,1110.6
Chhattisgarh,Kondagaon,2022,1037.7
Chhattisgarh,Kondagaon,2023,1014.3
Chhattisgarh,Korba,2019,1571.9
Chhattisgarh,Korba,2020,1538.1
Chhattisgarh,Korba,2021,1325.4
Chhattisgarh,Korba,2022,1355.9
Chhattisgarh,Korba,2023,1344.4
Chhattisgarh,Koriya,2019,1406.3
Chhattisgarh,Koriya,2021,1238.5
Chhattisgarh,Koriya,2022,1163.0
Chhattisgarh,Koriya,2023,1140.6
Chhattisgarh,Mahasamund,2019,1309.8
Chhattisgarh,Mahasamund,2020,1289.6
Chhattisgarh,Mahasamund,2021,1078.5
Chhattisgarh,Mahasamund,2022,1022.0
Chhattisgarh,Mahasamund,2023,1059.6
Chhattisgarh,Mungeli,2019,1247.6
Chhattisgarh,Mungeli,2020,1257.4
Chhattisgarh,Mungeli,2023,997.9
Chhattisgarh,Raigarh,2019,1410.0
Chhattisgarh,Raigarh,2020,1367.7
Chhattisgarh,Raigarh,2021,1316.3
Chhattisgarh,Raigarh,2022,1234.5
Chhattisgarh,Raigarh,2023,1234.1
Chhattisgarh,Raipur,2019,1277.0
Chhattisgarh,Raipur,2020,1258.6
Chhattisgarh,Raipur,2021,1126.8
Chhattisgarh,Raipur,2022,1046.2
Chhattisgarh,Raipur,2023,1134.7
Chhattisgarh,Rajnandgaon,2019,1371.9
Chhattisgarh,Rajnandgaon,2020,1384.0
Chhattisgarh,Rajnandgaon,2021,1256.7
Chhattisgarh,Rajnandgaon,2022,1143.0
Chhattisgarh,Rajnandgaon,2023,1167.3
Chhattisgarh,Rajnangaon,2021,1137.4
Chhattisgarh,Ranandgaon,2019,1252.3
Chhattisgarh,Ranandgaon,2021,1061.5
Chhattisgarh,Surajpur,2019,1204.0
Chhattisgarh,Surajpur,2021,1048.6
Chhattisgarh,Surajpur,2022,1080.9
Chhattisgarh,Surajpur,2023,1045.0
Chhattisgarh,Surguja,2019,1425.3
Chhattisgarh,Surguja,2021,1341.2
Chhattisgarh,Surguja,2022,1266.8
Chhattisgarh,Surguja,2023,1234.2
Chhattisgarh,balod,2019,1163.2
Chhattisgarh,balod,2021,1107.7
Dadra & Nagar Haveli and Daman & Diu,Dadra And Nagar Haveli,2023,1036.1
Dadra & Nagar Haveli and Daman & Diu,Daman,2019,2682.6
Dadra & Nagar Haveli and Daman & Diu,Daman,2023,2236.2
Dadra & Nagar Haveli and Daman & Diu,Diu,2019,794.0
Dadra & Nagar Haveli and Daman & Diu,Diu,2023,658.9
Dadra & Nagar Haveli and Daman & Diu,HDAAVDELRIA A ANNDD D NAAMGAANR &H,2022,1040.3
Dadra & Nagar Haveli and Daman & Diu,HaveDliadra And Nagar,2019,1255.6
Delhi,CENTRAL,2019,813.9
Delhi,CENTRAL,2020,784.5
Delhi,Central,2021,704.8
Delhi,Central,2023,720.2
Delhi,EAST,2019,831.7
Delhi,EAST,2020,831.0
Delhi,EAST,2021,718.4
Delhi,East,2023,676.7
Delhi,NAZUL LAND,2019,781.9
Delhi,NAZUL LAND,2020,802.2
Delhi,NAZUL LAND,2021,746.3
Delhi,NEW DELHI,2019,813.0
Delhi,NEW DELHI,2020,809.2
Delhi,NEW DELHI,2021,769.5
Delhi,NORTH,2019,809.3
Delhi,NORTH,2020,815.5
Delhi,NORTH,2021,760.6
Delhi,NORTH EAST,2020,805.9
Delhi,NORTH EAST,2021,748.7
Delhi,NORTH WEST,2019,851.6
Delhi,NORTH WEST,2020,850.9
Delhi,NORTH WEST,2021,713.5
Delhi,New Delhi,2021,771.2
Delhi,New Delhi,2023,701.7
Delhi,North,2021,721.7
Delhi,North,2023,699.4
Delhi,North East,2023,736.0
Delhi,North West,2023,701.8
Delhi,SHAHDARA,2019,807.7
Delhi,SHAHDARA,2020,825.2
Delhi,SHAHDARA,2021,720.4
Delhi,SOUTH,2019,787.0
Delhi,SOUTH,2020,784.1
Delhi,SOUTH,2021,712.1
Delhi,SOUTH EAST,2020,786.0
Delhi,SOUTH EAST,2021,712.9
Delhi,SOUTH WEST,2019,833.4
Delhi,SOUTH WEST,2020,788.4
Delhi,SOUTH WEST,2021,728.2
Delhi,Shahdara,2023,730.1
Delhi,South,2021,737.7
Delhi,South,2023,714.0
Delhi,South East,2023,679.3
Delhi,South West,2021,716.9
Delhi,South West,2023,670.0
Delhi,South west,2021,715.1
Delhi,WEST,2019,803.6
Delhi,WEST,2020,788.0
Delhi,WEST,2021,709.2
Delhi,West,2023,675.6
Goa,North Goa,2019,3803.6
Goa,North Goa,2023,3167.3
Goa,South Goa,2019,3348.1
Goa,South Goa,2023,2901.5
Gujarat,AHMEDABAD,2022,613.0
Gujarat,AMRELI,2022,508.7
Gujarat,ANAND,2022,894.9
Gujarat,ARVALLI,2022,880.0
Gujarat,Ahmedabad,2019,674.5
Gujarat,Ahmedabad,2020,723.5
Gujarat,Ahmedabad,2021,660.2
Gujarat,Ahmedabad,2023,575.1
Gujarat,Amreli,2019,610.1
Gujarat,Amreli,2020,637.3
Gujarat,Amreli,2021,575.6
Gujarat,Amreli,2023,516.4
Gujarat,Amreli Lathi,2020,978.2
Gujarat,Amreli Lilia,2020,994.5
Gujarat,Anand,2019,1015.2
Gujarat,Anand,2020,1019.4
Gujarat,Anand,2021,903.1
Gujarat,Anand,2023,865.6
Gujarat,Aravalli,2020,1032.5
Gujarat,Arvalli,2021,872.7
Gujarat,Arvalli,2023,847.4
Gujarat,BANAS KANTHA,2022,887.4
Gujarat,BHARUCH,2022,806.1
Gujarat,BHAVNAGAR,2022,544.2
Gujarat,BOTAD,2022,871.7
Gujarat,Banaskantha,2019,632.4
Gujarat,Banaskantha,2020,648.8
Gujarat,Banaskantha,2021,594.3
Gujarat,Banaskantha,2023,548.0
Gujarat,Banaskantha Data,2020,984.3
Gujarat,Bharuch,2019,896.3
Gujarat,Bharuch,2020,856.0
Gujarat,Bharuch,2021,802.1
Gujarat,Bharuch,2023,753.0
Gujarat,Bharuch*,2019,999.2
Gujarat,Bhavnagar,2019,611.9
Gujarat,Bhavnagar,2020,655.0
Gujarat,Bhavnagar,2021,577.9
Gujarat,Bhavnagar,2023,553.3
Gujarat,Botad,2021,941.6
Gujarat,Botad,2023,868.7
Gujarat,CHHOTA UDAIPUR,2022,833.0
Gujarat,Chhota Udaipur,2020,1011.3
Gujarat,Chhota Udepur,2023,876.4
Gujarat,Chhota udepur,2021,937.6
Gujarat,Chhota_Udaipur*,2019,1009.8
Gujarat,DAHOD,2022,836.5
Gujarat,DAMAN,2021,2299.5
Gujarat,DEVBHUMI DWARKA,2022,857.0
