sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file
11,,A&N Islands,N&M Andaman,,Nimbutala,12.49444,92.95417,2021,7.78,531,0,323,25,2,1,,245,36,38,14,1,0.68,,314,0.9,,,2021,cgwb_2021.pdf
12,W123030092573801,A&N Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,12.60667,92.94917,2021,7.29,506,0,275,32,0,0,,215,32,33,14,1,0.66,,280,BDL,,,2021,cgwb_2021.pdf
13,W124940092512801,A&N Islands,N&M Andaman,MAYABUNDER,Rest Camp,12.83278,92.85917,2021,7.75,431,0,220,25,1,1,,195,20,35,18,1,0.40,,234,1.1,,,2021,cgwb_2021.pdf
14,W113427092395101,A&N Islands,South Andaman,PORT BLAIR,Gupta Para,11.55972,92.65861,2021,7.22,147,0,49,25,0,0,,50,16,2,9,1,0.37,,84,0.5,,,2021,cgwb_2021.pdf
15,W121001092455601,A&N Islands,N&M Andaman,RONGET,Baratang (Nilambur),12.16833,92.76694,2021,7.83,548,0,293,28,1,1,,200,26,33,35,1,0.49,,303,0.5,,,2021,cgwb_2021.pdf
16,W121858092472001,A&N Islands,N&M Andaman,RONGET,Uttara,12.16139,92.79000,2021,7.59,253,0,122,28,1,1,,110,22,13,11,2,0.47,,153,0.5,,,2021,cgwb_2021.pdf
17,W122041092464401,A&N Islands,N&M Andaman,RONGET,Kadamtala,12.34917,92.77417,2021,7.90,626,0,342,28,1,1,,240,26,43,48,1,0.38,,356,0.1,,,2021,cgwb_2021.pdf
18,W122009092455601,A&N Islands,N&M Andaman,RONGET,Porlobjig-15,12.49556,92.78111,2021,7.70,349,0,189,25,1,1,,150,22,23,16,3,0.70,,206,0.1,,,2021,cgwb_2021.pdf
19,,A&N Islands,N&M Andaman,,Tikadera,12.52278,92.81389,2021,7.38,186,0,92,21,0,1,,80,22,6,9,2,0.48,,117,0.2,,,2021,cgwb_2021.pdf
20,W125604092513601,A&N Islands,N&M Andaman,MAYABUNDER,Mohanpur,12.95417,92.83556,2021,7.61,579,0,238,60,6,8,,195,36,26,50,7,0.34,,338,BDL,,,2021,cgwb_2021.pdf
21,W251045079470001,A&N Islands,N&M Andaman,KABRAI,Srinagar,13.13944,92.86806,2021,7.38,387,0,195,21,2,1,,115,32,9,44,3,0.31,,231,BDL,,,2021,cgwb_2021.pdf
22,W131024092555501,A&N Islands,N&M Andaman,DIGLIPUR,Nabagram,13.15472,92.94833,2021,7.31,278,0,177,21,1,3,,145,14,27,9,1,0.43,,185,0.8,,,2021,cgwb_2021.pdf
23,W131351092571902,A&N Islands,N&M Andaman,DIGLIPUR,Durgapur,13.27333,93.03194,2021,7.54,475,0,238,35,11,4,,190,38,23,32,2,0.39,,292,4.1,,,2021,cgwb_2021.pdf
24,W131708093001101,A&N Islands,N&M Andaman,DIGLIPUR,Laxmipur,13.27583,92.96667,2021,7.29,360,0,134,21,38,2,,120,28,12,32,5,0.54,,221,0.7,,,2021,cgwb_2021.pdf
25,W131427092592601,A&N Islands,N&M Andaman,DIGLIPUR,Subhasgram,13.25222,92.97417,2021,7.55,844,0,329,28,86,7,,355,56,52,42,2,0.34,,475,5.0,,,2021,cgwb_2021.pdf
26,W124345092530501,A&N Islands,N&M Andaman,MAYABUNDER,Basantipur,12.75750,92.87250,2021,7.69,366,0,220,18,2,0,,175,36,21,14,2,0.57,,227,6.4,,,2021,cgwb_2021.pdf
27,W113938092443601,A&N Islands,South Andaman,PORT BLAIR,Marina Park,11.67167,92.74667,2021,7.77,378,0,220,25,1,0,,195,42,22,11,2,0.38,,237,2.3,,,2021,cgwb_2021.pdf
28,W114231092390001,A&N Islands,South Andaman,FERRARGUNJ,Annikat,11.70833,92.65000,2021,7.45,412,0,195,35,3,2,,140,28,17,24,1,0.68,,230,2.9,,,2021,cgwb_2021.pdf
29,W114016092415501,A&N Islands,South Andaman,FERRARGUNJ,Namunagar,11.69028,92.68028,2021,7.52,273,0,146,25,2,1,,120,28,12,12,1,0.52,,172,0.1,,,2021,cgwb_2021.pdf
30,W122205092551201,A&N Islands,Long Island,RONGET,Long Island,12.36444,92.92333,2021,7.14,533,0,305,25,5,2,,255,74,17,7,1,0.74,,317,1.8,,,2021,cgwb_2021.pdf
31,W122200092552201,A&N Islands,Long Island,RONGET,Long Island (forest Area),12.36639,92.92333,2021,7.34,878,0,494,32,2,0,,280,40,44,55,11,0.68,,497,0.7,,,2021,cgwb_2021.pdf
32,W115913092571701,A&N Islands,Havelock,PORT BLAIR,Radhanagar,11.99167,92.95333,2021,7.77,878,0,458,53,8,1,,245,48,30,75,8,0.22,,504,0.1,,,2021,cgwb_2021.pdf
33,W123652092555501,A&N Islands,N&M Andaman,MAYABUNDER,Swadeshnagar,12.65083,92.89111,2021,7.60,260,0,146,18,8,0,,135,18,22,9,1,0.15,,165,2.5,,,2021,cgwb_2021.pdf
34,W114004092441501,A&N Islands,South Andaman,PORT BLAIR,Light House,11.66778,92.73778,2021,7.79,858,0,458,50,6,0,,110,16,17,154,4,0.23,,527,4.5,,,2021,cgwb_2021.pdf
35,W291530078553001,A&N Islands,Neil Island,Gadarpur,Bharatpur,11.83000,93.03806,2021,7.25,557,0,329,35,3,1,,245,44,33,21,1,0.31,,338,0.8,,,2021,cgwb_2021.pdf
36,,A&N Islands,Neil Island,,Bharatpur,11.83611,93.04444,2021,7.46,746,0,409,43,11,1,,300,64,34,40,3,0.25,,446,0.3,,,2021,cgwb_2021.pdf
37,W243310081461201,A&N Islands,Neil Island,MAUGANJ,Sitapur,11.82000,93.05972,2021,7.71,1020,0,488,74,4,1,,330,54,47,50,13,0.72,,543,0.1,,,2021,cgwb_2021.pdf
38,W114955093010201,A&N Islands,Neil Island,PORT BLAIR,Laxmanpur,11.83194,93.01694,2021,7.59,953,0,415,78,24,2,,295,44,45,60,5,0.26,,511,1.7,,,2021,cgwb_2021.pdf
39,W113947092444601,A&N Islands,Ross Island,PORT BLAIR,Ross Island,11.67500,92.76167,2021,7.53,466,0,183,53,19,0,,210,48,22,12,2,0.37,,290,0.6,,,2021,cgwb_2021.pdf
40,W113646092400201,A&N Islands,South Andaman,PORT BLAIR,Dhannikhari,11.61556,92.66778,2021,7.67,348,0,183,21,2,0,,160,26,23,11,0,1.21,,225,0.9,,,2021,cgwb_2021.pdf
41,W113839092392201,A&N Islands,South Andaman,FERRARGUNJ,Port Mout,11.64389,92.65611,2021,7.87,448,0,226,18,25,0,,190,38,23,17,1,0.38,,287,0.8,,,2021,cgwb_2021.pdf
42,W114056092381101,A&N Islands,South Andaman,FERRARGUNJ,Tushnabad,11.68222,92.63639,2021,7.92,749,0,262,92,6,6,,180,48,15,87,8,0.51,,437,0.7,,,2021,cgwb_2021.pdf
43,W105435075551501,A&N Islands,South Andaman,THIRUR MUNICIPALITY,Tirur,11.72417,92.61361,2021,7.20,157,0,61,21,0,0,,60,18,4,7,1,0.82,,104,1.2,,,2021,cgwb_2021.pdf
44,W114302092391001,A&N Islands,South Andaman,FERRARGUNJ,Ferrarganj,11.71694,92.65278,2021,7.50,1016,0,397,96,18,5,,230,62,18,127,7,0.31,,585,0.7,,,2021,cgwb_2021.pdf
45,W114320092393901,A&N Islands,South Andaman,FERRARGUNJ,Bindraban,11.72167,92.66722,2021,7.88,372,0,183,18,4,0,,135,20,21,16,1,0.26,,205,0.7,,,2021,cgwb_2021.pdf
46,W114358092423201,A&N Islands,South Andaman,FERRARGUNJ,Knoppuram,11.73250,92.70889,2021,7.66,461,0,220,21,40,0,,175,42,17,29,2,0.64,,305,0.1,,,2021,cgwb_2021.pdf
47,W114730092363001,A&N Islands,South Andaman,FERRARGUNJ,Mile Tilak,11.79472,92.65556,2021,7.71,391,0,153,21,46,1,,135,38,10,29,6,0.45,,266,2.3,,,2021,cgwb_2021.pdf
48,W114011092403601,A&N Islands,South Andaman,FERRARGUNJ,Mithakhari,11.01778,92.67306,2021,7.29,223,0,73,35,0,0,,130,40,7,34,3,0.18,,125,0.6,,,2021,cgwb_2021.pdf
49,W113444092403501,A&N Islands,South Andaman,PORT BLAIR,Nayasahar,11.57889,92.67639,2021,7.53,190,0,67,18,10,0,,70,18,6,12,0,0.19,,118,0.1,,,2021,cgwb_2021.pdf
50,W110705076071501,A&N Islands,South Andaman,MANJERI MUNICIPALITY,Manjeri,11.53750,92.64722,2021,7.15,609,0,183,78,15,1,,140,26,18,68,4,0.24,,339,0.6,,,2021,cgwb_2021.pdf
51,W113551092375801,A&N Islands,South Andaman,PORT BLAIR,Mamyo,11.59750,92.63278,2021,7.55,169,0,67,25,0,0,,60,16,5,13,0,0.53,,112,BDL,,,2021,cgwb_2021.pdf
52,W113833092433601,A&N Islands,South Andaman,PORT BLAIR,Lamba Line,11.64500,92.73083,2021,7.81,326,0,140,43,2,2,,110,36,5,29,4,0.35,,223,0.7,,,2021,cgwb_2021.pdf
53,,A&N Islands,South Andaman,,Mount Harriyat,11.72139,92.73306,2021,7.04,202,0,67,21,17,1,,100,22,11,3,1,0.32,,121,1.6,,,2021,cgwb_2021.pdf
54,W122440092454401,A&N Islands,N&M Andaman,RONGET,Phooltala Basti,12.41167,92.76222,2021,7.91,499,0,256,43,1,1,,225,22,41,19,4,0.21,,300,0.6,,,2021,cgwb_2021.pdf
55,W130955092525301,A&N Islands,N&M Andaman,DIGLIPUR,Kishorinagar (Parangara),13.16500,92.88167,2021,7.38,157,0,61,18,5,1,,65,12,9,6,1,0.32,,95,0.5,,,2021,cgwb_2021.pdf
56,W131850092563301,A&N Islands,N&M Andaman,DIGLIPUR,Milangram,13.31417,92.94111,2021,7.91,931,0,281,113,61,3,,345,30,66,55,7,0.83,,515,0.1,,,2021,cgwb_2021.pdf
57,W131434093023901,A&N Islands,N&M Andaman,DIGLIPUR,Shibpur,13.24306,93.04417,2021,7.72,748,0,348,67,0,1,,260,74,18,63,2,0.52,,439,0.1,,,2021,cgwb_2021.pdf
58,W131537093004901,A&N Islands,N&M Andaman,DIGLIPUR,Keralapuram,13.26000,93.01333,2021,8.07,481,0,165,32,47,1,,125,24,16,44,2,0.34,,279,5.6,,,2021,cgwb_2021.pdf
59,W125022092511201,A&N Islands,N&M Andaman,MAYABUNDER,Pahalgaon,12.83944,92.85333,2021,7.64,616,0,299,32,7,1,,250,22,47,25,2,0.74,,340,3.5,,,2021,cgwb_2021.pdf
60,W124157092525401,A&N Islands,N&M Andaman,MAYABUNDER,Joypur,12.69944,92.88139,2021,8.07,516,0,262,14,3,0,,225,22,41,5,0,0.26,,267,0.5,,,2021,cgwb_2021.pdf
61,,A&N Islands,N&M Andaman,,Betapur,12.62583,92.92111,2021,8.03,427,0,171,25,37,0,,175,16,33,13,1,0.19,,246,1.1,,,2021,cgwb_2021.pdf
62,W120159092585201,A&N Islands,Havelock Island,PORT BLAIR,Havelock Island Jetty,12.04111,92.98083,2021,7.66,1076,0,299,138,91,5,,280,80,19,107,8,0.73,,645,0.3,,,2021,cgwb_2021.pdf
63,W120017093001701,A&N Islands,Havelock Island,PORT BLAIR,Vijaynagar,12.00528,93.00694,2021,7.54,579,0,293,46,4,1,,235,62,19,32,7,0.28,,370,1.0,,,2021,cgwb_2021.pdf
64,W222820086432601,A&N Islands,Havelock Island,CHAKULIA,Kalapathar,11.97472,93.00583,2021,7.48,895,0,439,71,0,1,,285,78,22,87,3,0.39,,530,0.1,,,2021,cgwb_2021.pdf
65,W120001092583401,A&N Islands,Havelock Island,PORT BLAIR,Krishnanagar,12.00028,92.97583,2021,7.58,446,0,134,28,63,0,,195,60,11,3,3,0.17,,321,0.5,,,2021,cgwb_2021.pdf
66,W114953093010801,A&N Islands,Neil Island,PORT BLAIR,Pearl Park Resort,11.84583,92.01500,2021,7.55,673,0,293,74,21,1,,240,64,19,49,2,0.08,,436,0.3,,,2021,cgwb_2021.pdf
67,W114909093023001,A&N Islands,Neil Island,PORT BLAIR,Ramnagar,13.31417,92.94111,2021,7.65,593,0,244,50,10,0,,240,54,26,23,3,0.96,,333,3.9,,,2021,cgwb_2021.pdf
68,W175430082071501,Andhra Pradesh,Visakhapatnam,GUDEM KOTHAVEEDI,Dharakonda,17.9083,82.1208,2021,6.8,410,0,171,25,8,41,N.A.,180,38,21,13,2,0.401,N.A.,,,,,2021,cgwb_2021.pdf
69,W175300083260001,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-1,17.8833,83.4333,2021,7.2,760,0,189,82,20,97,N.A.,195,50,17,71,22,0.322,N.A.,,,,,2021,cgwb_2021.pdf
70,W175300083260002,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-2,17.8833,83.4333,2021,7.3,2650,0,695,298,160,186,N.A.,780,184,78,164,140,0.593,N.A.,,,,,2021,cgwb_2021.pdf
71,W172255082461501,Andhra Pradesh,Visakhapatnam,NAKKALLI,Gurrajupeta,17.3819,82.7708,2021,7.21,2750,0,708,397,143,120,N.A.,780,200,68,274,26,0.677,N.A.,,,,,2021,cgwb_2021.pdf
72,W173030082400002,Andhra Pradesh,Visakhapatnam,KOTAURATLA,Purshotta Puram,17.5083,82.6667,2021,7.69,1400,0,549,99,70,55,N.A.,310,64,36,175,11,1.59,N.A.,,,,,2021,cgwb_2021.pdf
73,W174536082330201,Andhra Pradesh,Visakhapatnam,KOYYURU,Pata K.d.peta,17.6708,82.3625,2021,7.5,1150,0,476,71,45,53,N.A.,390,104,32,62,23,0.509,N.A.,,,,,2021,cgwb_2021.pdf
74,W172730082510001,Andhra Pradesh,Visakhapatnam,S.RAYAVARAM,Rayavaram,17.4583,82.8500,2021,7.61,2140,0,610,298,80,23,N.A.,580,56,107,219,8,0.533,N.A.,,,,,2021,cgwb_2021.pdf
75,W175904083282801,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Lawson's Bay,17.7306,83.3433,2021,7.31,2740,0,952,269,135,24,N.A.,540,56,97,334,68,0.688,N.A.,,,,,2021,cgwb_2021.pdf
76,W174929083162601,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Kancherapalem (Govt. Polytechn1i7c).7342,,83.2800,2021,7.7,1140,0,451,78,70,24,N.A.,320,48,49,117,0,0.807,N.A.,,,,,2021,cgwb_2021.pdf
77,W170640082154501,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Pithapuram,17.7153,83.3319,2021,7.28,690,0,214,71,35,18,N.A.,205,42,24,60,0,0.338,N.A.,,,,,2021,cgwb_2021.pdf
78,,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Gopalpatnam PZ,17.7617,83.2203,2021,7.6,800,0,281,71,36,17,N.A.,250,46,33,64,2,0.594,N.A.,,,,,2021,cgwb_2021.pdf
79,W180421083274601,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Anandapuram PZ,17.8919,83.3711,2021,7.4,350,0,165,14,13,5,N.A.,105,28,9,23,16,0.485,N.A.,,,,,2021,cgwb_2021.pdf
80,W174914083182001,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Akkireddipalem PZ,17.7092,83.2072,2021,7.29,780,0,360,35,35,5,N.A.,205,36,28,85,1,0.918,N.A.,,,,,2021,cgwb_2021.pdf
81,W175353082592001,Andhra Pradesh,Visakhapatnam,BUCHCHAYYAPETA,L.Singavaram,17.8139,82.8167,2021,7.3,950,0,464,35,29,3,N.A.,305,54,41,78,1,0.817,N.A.,,,,,2021,cgwb_2021.pdf
82,W180441082255101,Andhra Pradesh,Visakhapatnam,PENDURTI,Bandavaripalem X road,17.7147,82.5906,2021,7.6,1630,0,366,142,281,30,N.A.,560,64,97,98,30,0.982,N.A.,,,,,2021,cgwb_2021.pdf
83,W175014082404101,Andhra Pradesh,Visakhapatnam,GOLUGONDA,Naganna Dorapalem,17.7014,82.4792,2021,7.32,850,0,476,11,18,4,N.A.,275,56,33,69,5,1,N.A.,,,,,2021,cgwb_2021.pdf
84,W270611093414001,Arunachal Pradesh,PAPUMPARE,Doimukh,Naharlagun I,27.1,93.69,2021,8.07,367.30,0.00,103.78,31.905,14.94,40.32,,155.00,16.01,27.90,14.49,6.11,0.26,,197.50,,,,2021,cgwb_2021.pdf
85,W272730096063001,Arunachal Pradesh,Changlang,Miao circle,Namphai,27.446084,96.10863,2021,7.88,114.70,0.00,73.26,3.545,2.09,5.26,,75.00,6.00,14.56,1.30,0.31,0.12,,61.10,,,,2021,cgwb_2021.pdf
86,W272500096024501,Arunachal Pradesh,Changlang,Miao circle,Namchik,27.414577,95.971986,2021,7.79,122.00,0.00,61.05,14.180,10.36,6.48,,70.00,12.01,9.70,2.93,1.60,0.13,,64.77,,,,2021,cgwb_2021.pdf
87,W275818095452601,,,Roing,,27.97171,95.75741,2021,7.71,207.90,0.00,67.15,10.635,14.90,14.46,,45.00,16.01,1.21,14.23,9.08,0.13,,109.10,,,,2021,cgwb_2021.pdf
88,W271200095313001,Arunachal Pradesh,Tirap,Khonsa circle,Deomali,27.196588,95.462758,2021,7.49,146.40,0.00,42.73,17.725,13.67,4.23,,65.00,8.01,10.92,6.82,3.49,0.04,,77.50,,,,2021,cgwb_2021.pdf
89,W274000095523001,Arunachal Pradesh,Lohit,Namsai circle,Lathow,27.73948,95.909805,2021,7.39,47.35,0.00,54.94,10.635,3.05,0.06,,30.00,10.01,1.21,15.91,2.06,0.06,,25.09,,,,2021,cgwb_2021.pdf
90,W270100095280001,Arunachal Pradesh,Tirap,Khonsa circle,Borduria,27.115189,95.413139,2021,7.36,44.20,0.00,24.42,17.725,2.75,1.05,,45.00,6.00,7.28,1.76,0.37,0.08,,23.17,,,,2021,cgwb_2021.pdf
91,W270030095280001,Arunachal Pradesh,Tirap,Khonsa circle,Hukanjuri,27.125802,95.437686,2021,7.05,112.40,0.00,67.15,60.265,8.01,13.58,,155.00,6.00,33.98,7.06,4.13,0.04,,59.51,,,,2021,cgwb_2021.pdf
92,W261210093062301,Assam,East Kaarbi-Anglong,Raha,Swarghati,26.2027778,93.10638889,2021,8.77,337.90,12.00,238.09,28.360,0.00,12.57,,185.00,48.04,15.75,18.59,13.90,0.70,,196.60,,,,2021,cgwb_2021.pdf
93,W261113092440601,Assam,Nagaon,Kathiatoli,Kathiatoli,26.1880556,92.70277778,2021,8.76,505.40,9.00,231.99,77.990,45.24,12.54,,205.00,46.04,21.82,48.60,22.74,0.62,,297.20,,,,2021,cgwb_2021.pdf
94,W261418091443401,Assam,Kamrup Metro,NorthGuwahati,Dirgheswari,26.2388889,91.73994444,2021,8.72,369.70,15.00,244.20,53.175,18.91,0.00,,205.00,34.03,29.11,37.80,7.99,1.80,,197.80,,,,2021,cgwb_2021.pdf
96,W261210093080001,,,Howraghat,,26.2027778,93.13333333,2021,8.70,249.10,6.00,140.41,28.360,10.54,30.82,,120.00,32.03,9.69,27.62,3.90,0.88,,144.20,,,,2021,cgwb_2021.pdf
97,W254600093103001,Assam,Nagaon,Lanka,Lumding,25.758808,93.17457,2021,8.68,540.20,21.00,274.72,38.995,26.02,17.96,,220.00,44.04,26.68,45.14,9.52,0.88,,311.40,,,,2021,cgwb_2021.pdf
98,W261229093035601,Assam,East Kaarbi-Anglong,Samelangso,Dokmoka,26.2083333,93.06555556,2021,8.68,197.80,12.00,152.62,10.635,7.66,22.75,,110.00,36.03,4.84,25.42,5.06,0.64,,114.80,,,,2021,cgwb_2021.pdf
99,W230530080300001,Assam,East Kaarbi-Anglong,Howraghat,Manikpur,26.2497222,93.14638889,2021,8.66,474.30,15.00,293.03,49.630,9.72,11.48,,140.00,26.02,18.19,65.70,38.15,0.72,,276.40,,,,2021,cgwb_2021.pdf
100,W261453091412401,Assam,Kamrup,Bejera,Dhobartari,26.2481944,91.69025,2021,8.66,449.50,12.00,238.09,155.980,12.12,0.50,,175.00,52.04,10.90,78.92,48.60,1.10,,240.80,,,,2021,cgwb_2021.pdf
101,W262406092483001,Assam,Nagaon,Samulguri,Pahukata,26.4019444,92.80916667,2021,8.64,728.10,21.00,445.66,88.625,21.69,0.00,,330.00,56.04,46.09,48.68,50.93,0.66,,423.50,,,,2021,cgwb_2021.pdf
102,W261800092470001,Assam,Nagaon,Brahmpur,Bamuni Tinali,26.2952778,92.7925,2021,8.64,312.10,6.00,152.62,38.995,20.39,0.00,,105.00,30.02,7.27,21.72,33.80,0.66,,182.10,,,,2021,cgwb_2021.pdf
104,W260418092123701,,,Mayong,,26.1216667,92.3508333,2021,8.59,214.50,3.00,91.57,24.815,11.13,0.00,,120.00,28.02,12.12,2.41,8.44,0.74,,121.10,,,,2021,cgwb_2021.pdf
105,W261015091350501,Assam,Kamrup,Hajo,Sualkuchi,26.1674444,91.57083333,2021,8.54,1143.00,18.00,543.33,145.350,4.80,2.03,,430.00,72.06,60.64,95.88,72.54,0.95,,607.00,,,,2021,cgwb_2021.pdf
106,W261056093084901,Assam,East Kaarbi-Anglong,Howraghat,Phuloni,26.1708333,93.13666667,2021,8.53,500.20,12.00,323.56,53.175,30.45,5.39,,255.00,48.04,32.74,44.01,14.60,0.83,,297.50,,,,2021,cgwb_2021.pdf
107,W263532092560401,Assam,Nagaon,Kaliabor,Silghat,26.6069444,92.92916667,2021,8.49,410.40,15.00,280.82,28.360,21.19,13.86,,225.00,52.04,23.03,28.68,11.09,1.00,,240.10,,,,2021,cgwb_2021.pdf
108,W255639091070501,Assam,Goalpara,Rongjuli,Rajapara,25.9458333,91.11333333,2021,8.48,348.10,6.00,268.61,17.725,1.29,0.52,,105.00,26.02,9.70,52.11,52.30,2.30,,185.00,,,,2021,cgwb_2021.pdf
109,W255739093291801,Assam,Karbi Anglong,Bokajan,Amlokhi,25.9538889,93.48861111,2021,8.45,1058.00,6.00,659.33,138.255,19.41,0.77,,255.00,32.03,42.46,176.72,43.80,0.62,,629.70,,,,2021,cgwb_2021.pdf
110,W255447092574201,Assam,Nagaon,Lanka,Lanka,26.1880556,92.73611111,2021,8.45,111.20,9.00,207.57,113.440,5.09,0.00,,230.00,24.02,41.25,54.79,0.85,0.42,,64.15,,,,2021,cgwb_2021.pdf
111,W262900092293002,Assam,Nagaon,Kathiatoli,Bichamari,26.4013889,92.46,2021,8.44,428.10,15.00,213.67,38.995,15.49,20.08,,200.00,54.04,15.75,27.69,3.13,0.97,,245.80,,,,2021,cgwb_2021.pdf
112,W261521092134601,,,Bhurbandha,,26.2630556,92.22361111,2021,8.44,468.90,21.00,360.19,17.725,0.00,2.33,,270.00,92.07,9.66,9.20,28.08,0.99,,270.80,,,,2021,cgwb_2021.pdf
113,W255424093393901,Assam,Karbi Anglong,Bokajan,Lahorijan,25.9069444,93.66138889,2021,8.43,670.80,9.00,231.99,109.895,13.00,36.42,,250.00,50.04,30.32,85.72,7.57,0.50,,393.60,,,,2021,cgwb_2021.pdf
114,W255900092554401,Assam,Nagaon,Dhalpukhri,Jurapukhuri,25.9652778,92.94361111,2021,8.42,493.50,9.00,195.36,24.815,16.53,7.36,,150.00,44.04,9.69,27.13,7.04,0.83,,284.60,,,,2021,cgwb_2021.pdf
115,W263400092514301,Assam,Nagaon,Kaliabor,Dalapani,26.5672222,92.86222222,2021,8.42,545.70,21.00,335.77,46.085,20.85,0.00,,270.00,66.05,25.45,26.83,21.19,0.87,,318.00,,,,2021,cgwb_2021.pdf
116,W255817090570901,Assam,Goalpara,Rongjuli,Sarapara,25.9713889,90.9525,2021,8.39,273.10,9.00,225.88,28.360,2.57,0.14,,100.00,24.02,9.70,54.82,31.93,1.60,,147.00,,,,2021,cgwb_2021.pdf
117,W262356092135501,Assam,Morigaon,Lahorighat,Barukati,26.4,92.2319444,2021,8.39,369.10,9.00,201.46,28.360,8.98,0.20,,190.00,18.01,35.19,10.27,3.01,0.98,,213.20,,,,2021,cgwb_2021.pdf
118,W261723091424301,Assam,Kamrup,Bejera,Dora Kahara,26.2898889,91.71211111,2021,8.39,469.70,9.00,238.09,209.155,2.77,1.07,,240.00,38.03,35.18,72.43,46.72,0.65,,266.50,,,,2021,cgwb_2021.pdf
119,W272830095220001,Assam,Tinsukia,Guijan,Tinsukia,27.484937,95.351924,2021,8.39,768.10,9.00,146.52,95.715,26.25,41.36,,230.00,32.03,36.39,50.05,19.24,0.09,,411.10,,,,2021,cgwb_2021.pdf
121,W261615091131401,,,Barkhetri,,26.2709722,91.22075,2021,8.38,626.80,18.00,250.30,205.610,14.95,0.32,,270.00,78.06,18.17,79.61,39.01,0.74,,330.90,,,,2021,cgwb_2021.pdf
122,W274510095082001,Assam,DHEMAJI,Murkongselek,Bijoypur,27.7803889,95.16677778,2021,8.38,438.20,9.00,219.78,38.995,22.97,17.12,,185.00,36.03,23.04,30.14,10.59,0.54,,233.10,,,,2021,cgwb_2021.pdf
123,W261136092144301,Assam,Morigaon,Morigaon,Kumoi,26.1936111,92.24527778,2021,8.37,772.90,12.00,286.93,170.160,14.91,0.00,,265.00,72.06,20.60,112.24,6.42,1.10,,455.90,,,,2021,cgwb_2021.pdf
124,W261529092184201,Assam,Morigaon,Morigaon,Basanaghat,26.2580556,92.3116667,2021,8.37,270.60,9.00,97.68,31.905,13.92,0.00,,120.00,28.02,12.12,5.84,7.50,0.71,,155.30,,,,2021,cgwb_2021.pdf
