sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file
23,W212350071130001,Gujarat,Amreli,Dhari,Kerala,21.389715,71.217799,2020,8.1,1369,0,500,206,36,23,,120,28,12,286,0.68,0.41,,917,,,,2020,cgwb_2020.pdf
24,W212330071174501,Gujarat,Amreli,Kundla- Savar,Charkhadia1,21.388935,71.29323,2020,7.6,1152,0,622,50,35,17,,50,16,2.4,262,2.9,2.25,,772,,,,2020,cgwb_2020.pdf
25,W212558071215001,Gujarat,Amreli,Kundla- Savar,Bhuva,21.427712,71.359647,2020,8.1,9343,0,805,2552,560,221,,721,40,151,2008,81,0.84,,6260,,,,2020,cgwb_2020.pdf
26,W212000071120001,Gujarat,Amreli,Dhari,Dharangani,21.328942,71.197764,2020,8.0,1687,0,293,347,64,135,,490,96,61,188,0.86,0.29,,1130,,,,2020,cgwb_2020.pdf
27,W211400071120001,Gujarat,Amreli,Khambha,Ingorala,21.226835,71.20256,2020,8.2,676,0,342,35,30,16,,270,60,29,47,0.52,0.31,,453,,,,2020,cgwb_2020.pdf
28,,Gujarat,Amreli,Dhari,Virpur,21.253927,71.145876,2020,7.3,1098,0,488,57,51,90,,450,104,46,65,3.5,0.25,,736,,,,2020,cgwb_2020.pdf
29,W214954071455801,Gujarat,Amreli,Jafrabad,Timbi2,20.897248,71.202100,2020,8.2,2073,0,451,390,112,85,,390,48,66,341,19,0.83,,1389,,,,2020,cgwb_2020.pdf
30,W205430071213701,Gujarat,Amreli,Jafrabad,Kadiyali,20.861747,71.302268,2020,8.4,2680,24,342,674,27,8.9,,450,132,29,363,12,1.00,,1796,,,,2020,cgwb_2020.pdf
31,W201200076010001,Gujarat,Amreli,Jafrabad,Jafrabad,20.868281,71.361554,2020,8.2,3374,0,549,645,177,150,,320,40,54,528,210,0.61,,2261,,,,2020,cgwb_2020.pdf
32,W205745071260001,Gujarat,Amreli,Jafrabad,Lotpur,20.961527,71.431147,2020,8.2,8755,0,256,2567,477,114,,901,64,179.968,1698,6.1,0.27,,5866,,,,2020,cgwb_2020.pdf
33,W205205071214501,Gujarat,Amreli,Jafrabad,Bherai,20.974028,71.486826,2020,8.4,3112,36,683,581,154,46,,450,32,90,515,13,0.86,,2085,,,,2020,cgwb_2020.pdf
34,W205530071211501,Gujarat,Amreli,Jafrabad,Nageshri,20.919667,71.342351,2020,7.7,1390,0,476,156,107,49,,370,72,46,164,7.5,0.27,,931,,,,2020,cgwb_2020.pdf
35,W210100071165001,Gujarat,Amreli,Khambha,Trakuda,21.016512,71.282878,2020,7.5,452,0,171,50,26,0.76,,150,36,15,44,1.5,0.27,,303,,,,2020,cgwb_2020.pdf
36,W210900071142001,Gujarat,Amreli,Khambha,Khamba,21.146447,71.238110,2020,8.2,698,0,366,35,22,24,,240,48,29,68,0.41,0.26,,468,,,,2020,cgwb_2020.pdf
37,W211400071150001,Gujarat,Amreli,Khambha,Vankiya1,21.232187,71.253270,2020,8.2,1408,0,464,142,85,136,,470,92,58,136,1.9,0.28,,943,,,,2020,cgwb_2020.pdf
38,,Gujarat,Amreli,Kundla- Savar,Badhda,21.266366,71.338387,2020,8.2,1275,0,244,177,100,124,,430,52,73,101,0.79,0.21,,854,,,,2020,cgwb_2020.pdf
39,W211330071244001,Gujarat,Amreli,Kundla- Savar,Goradka,21.228019,71.40808,2020,7.7,1324,0,183,234,97,135,,530,104,66,86,0.64,0.23,,887,,,,2020,cgwb_2020.pdf
40,W210600071350001,Gujarat,Amreli,Rajula,Mandal,21.099438,71.579290,2020,7.9,1976,0,329,376,101,123,,460,68,71,268,3.9,0.59,,1324,,,,2020,cgwb_2020.pdf
41,W212300071280001,Gujarat,Amreli,Kundla- Savar,Piyava,21.379547,71.460227,2020,8.2,1260,0,659,78,20,33,,220,28,36,220,0.37,0.39,,844,,,,2020,cgwb_2020.pdf
42,W224249073073601,Gujarat,Anand,Umreth,Parvata,22.69103,73.08475,2020,8.3,1148,36,476,71,76,6.9,,420,40,78,96,1.9,0.93,,769,,,,2020,cgwb_2020.pdf
43,W222120072535001,Gujarat,Anand,Borsad,Bhadran,22.38454,72.90141,2020,7.9,635,0,342,35,20,0.33,,270,64,27,32,1.3,0.28,,425,,,,2020,cgwb_2020.pdf
44,W222045072500001,Gujarat,Anand,Borsad Ras,,22.35408,72.83599,2020,8.1,1442,0,659,149,25,16,,160,28,22,284,8.5,4.5,,966,,,,2020,cgwb_2020.pdf
45,W221630072460001,Gujarat,Anand,Cambay,Dali,22.28326,72.76283,2020,8.2,3721,0,805,808,154,12,,550,80,85,605,21,3.4,,2493,,,,2020,cgwb_2020.pdf
46,W205212071030401,Gujarat,Anand,Cambay,Kansari,22.34061,72.65247,2020,8.2,4565,0,744,1035,262,46,,590,88,90,784,10,1.6,,3059,,,,2020,cgwb_2020.pdf
47,W222515072474001,Gujarat,Anand,Petlad,Dharmaj,22.42085,72.78762,2020,9.2,2488,180,573,262,154,79,,210,12,44,498,0.13,2.2,,1667,,,,2020,cgwb_2020.pdf
48,W223230072490001,Gujarat,Anand,Petlad,Bandhani,22.53747,72.81231,2020,8.5,1834,36,903,106,38,28,,130,8.0,27,408,0.56,2.3,,1229,,,,2020,cgwb_2020.pdf
49,W234010073102501,Gujarat,Aravalli,Bhiloda,Punasan,23.664824,73.171211,2020,7.9,810,0,256,64,90,36,,250,72,17,77,0.49,1.75,,543,,,,2020,cgwb_2020.pdf
50,W234110073220001,Gujarat,Aravalli,Bhiloda,Shamlaji,23.682976,73.368317,2020,8.0,501,0,220,50,15,3,,110,36,4.9,70,0.85,0.51,,336,,,,2020,cgwb_2020.pdf
51,W232911073235501,Gujarat,Aravalli,Modasa,Seenawad,23.476337,73.395622,2020,7.4,1427,0,305,227,100,109,,500,144,34,97,11.5,0.46,,956,,,,2020,cgwb_2020.pdf
52,W232430073273001,Gujarat,Aravalli,Malpur,Hamirpur,23.406389,73.460693,2020,7.5,1509,0,293,256,132,85,,480,144,29,125,0.99,0.63,,1011,,,,2020,cgwb_2020.pdf
53,W232041073275201,Gujarat,Aravalli,Malpur,Malpur_1,23.371466,73.455574,2020,7.6,807,0,280,64,11,106,,350,76,39,26,0.42,0.72,,541,,,,2020,cgwb_2020.pdf
54,W231030073201501,Gujarat,Aravalli,Bayad,Sathamba,23.173384,73.330353,2020,7.9,918,0,366,43,90,18,,330,56,46,58,1.6,0.74,,615,,,,2020,cgwb_2020.pdf
55,W230730073123001,Gujarat,Aravalli,Bayad,Boral,23.129101,73.215118,2020,7.7,3142,0,268,824,77,125,,820,304,15,398,1.1,0.49,,2105,,,,2020,cgwb_2020.pdf
56,W232000073180001,Gujarat,Aravalli,Dhansura,Karanpur,23.332365,73.326927,2020,7.8,682,0,122,99,90,38,,220,56,19,60,0.4,0.72,,457,,,,2020,cgwb_2020.pdf
57,W232100073120001,Gujarat,Aravalli,Dhansura,Dhansura,23.347195,73.19944,2020,7.8,1350,0,366,156,85,74,,520,168,24,69,0.55,0.47,,905,,,,2020,cgwb_2020.pdf
58,W242420072383001,Gujarat,Banaskantha,Amirgadh,Amirgadh,24.40092,72.647685,2020,7.0,3275,0,586,709,116,125,,971,140,151,330,3.1,0.78,,2194,,,,2020,cgwb_2020.pdf
59,W243145071323001,Gujarat,Banaskantha,Tharad,Bharol1,24.528819,71.538582,2020,7.1,825,0,378,78,17,5.3,,300,76,27,40,52,0.64,,553,,,,2020,cgwb_2020.pdf
60,W241120072453801,Gujarat,Banaskantha,Dantiwada,Dantiwada,24.315154,72.325611,2020,7.0,620,0,281,50,17,30,,270,80,17,33,1.1,0.42,,415,,,,2020,cgwb_2020.pdf
61,W241750072565001,Gujarat,Banaskantha Data,,Ganapipli,24.293518,72.946728,2020,7.1,918,0,390,78,39,33,,330,76,34,81,2.0,2.1,,615,,,,2020,cgwb_2020.pdf
62,W242610072215501,Gujarat,Banaskantha,Dantiwada,Gangodra,24.439293,72.364594,2020,7.1,3494,0,671,709,144,0.96,,861,204,85,335,19,3.5,,2341,,,,2020,cgwb_2020.pdf
63,W242045072321501,Gujarat,Banaskantha,Amirgadh,Iqbalgarh,24.344959,72.546526,2020,7.4,810,0,329,57,23,54,,330,76,34,45,1.0,0.58,,543,,,,2020,cgwb_2020.pdf
64,W242915072211001,Gujarat,Banaskantha,Dantiwada,Jhat,24.486668,72.351128,2020,7.7,2000,0,476,355,137,0.24,,180,28,27,375,4.2,1.6,,1340,,,,2020,cgwb_2020.pdf
65,W243930071460001,Gujarat,Banaskantha,Tharad,Khoda,24.656703,71.770809,2020,7.7,1575,0,573,177,107,22,,130,20,19,320,13,1.9,,1055,,,,2020,cgwb_2020.pdf
66,W241000072434001,Gujarat,Banaskantha Data,,Mohabbat gadh,24.155737,72.704379,2020,7.2,1488,0,305,262,68,73,,480,156,22,110,3.60,1.3,,997,,,,2020,cgwb_2020.pdf
67,W241140072260001,Gujarat,Banaskantha,Palanpur2,Palanpur2,24.19947,72.438385,2020,7.5,1579,0,427,248,67,103,,380,76,46,210,0.70,0.80,,1058,,,,2020,cgwb_2020.pdf
68,W241030072444501,Gujarat,Banaskantha Data,,Ratanpur2,24.178544,72.748301,2020,7.1,1480,0,268,233.97,93,155,,560,188,22,95,2.5,0.39,,992,,,,2020,cgwb_2020.pdf
69,W242405072174501,Gujarat,Banaskantha,Dantiwada,Sodapur,24.402684,72.296812,2020,7.5,915,0,403,78,38,19,,160,32,19,158,2.8,2.2,,613,,,,2020,cgwb_2020.pdf
70,W220107072454701,Gujarat,Bharuch,Jambusar,Kalak1,22.02898,72.764289,2020,7.0,835,0,354,64,24,15,,250,80,12,60,36,1.5,,559,,,,2020,cgwb_2020.pdf
71,W215930072403001,Gujarat,Bharuch,Jambusar,Tankari,21.988148,72.669387,2020,7.9,4492,0,879,908,227,13,,891,96,158,544,113,0.66,,3010,,,,2020,cgwb_2020.pdf
72,W220137072381001,Gujarat,Bharuch,Jambusar,Sindhav,22.030494,72.610604,2020,8.0,567,0,268,35,18,1.4,,140,32,15,66,14,0.34,,380,,,,2020,cgwb_2020.pdf
73,W220736072401101,Gujarat,Bharuch,Jambusar,Chhindra,22.101552,72.5953,2020,7.8,850,0,378,64,31,21,,270,64,27,59,55,0.42,,570,,,,2020,cgwb_2020.pdf
74,W221105072355001,Gujarat,Bharuch,Jambusar,Dahegam,22.18782,72.591482,2020,7.8,1644,0,512,213,85,61,,500,96,63,133,49,0.19,,1101,,,,2020,cgwb_2020.pdf
75,W221137072382201,Gujarat,Bharuch,Jambusar,Kavi,22.195247,72.63669,2020,8.2,2962,0,854,312,157,121,,280,40,44,190,510,0.39,,1985,,,,2020,cgwb_2020.pdf
76,W220930072453001,Gujarat,Bharuch,Jambusar,Sarod,22.167157,72.741028,2020,8.0,735,0,293,85,17,7.2,,260,48,34,55,16,0.45,,492,,,,2020,cgwb_2020.pdf
77,W215500072473001,Gujarat,Bharuch,Amod,Roja Tankaria,21.911477,72.788385,2020,7.6,1739,0,476,326,34,5.8,,530,132,49,131,46,0.36,,1165,,,,2020,cgwb_2020.pdf
78,W214100072490001,Gujarat,Bharuch,Bharuch,Kaswa,21.68166,72.815421,2020,7.9,450,0,207,35,13,4.7,,160,44,12,37,3.4,0.45,,302,,,,2020,cgwb_2020.pdf
79,W214228072495001,Gujarat,Bharuch,Bharuch,Navetha,21.701431,72.798201,2020,7.8,695,0,305,92,2.1,2.5,,270,64,27,34,23,0.32,,466,,,,2020,cgwb_2020.pdf
80,W214200073001501,Gujarat,Bharuch,Bharuch,Bharuch,21.713126,73.000414,2020,7.8,2416,0,635,347,129,1.2,,711,144,85,206,5.3,0.31,,1619,,,,2020,cgwb_2020.pdf
81,,Gujarat,Bharuch,Ankleshwar,Sajod,21.444511,72.818195,2020,8.6,2035,72,683,191,58,11,,190,16,36,400,2.8,3.2,,1363,,,,2020,cgwb_2020.pdf
82,W213530072493001,Gujarat,Bharuch,Hansot,Utraj,21.585656,72.82359,2020,7.9,475,0,207,28,17,2.8,,160,48,10,35,0.69,0.45,,318,,,,2020,cgwb_2020.pdf
83,W214522070371001,Gujarat,Bharuch,Hansot,Jetpur,21.495685,72.704826,2020,7.7,1750,0,451,347,67,11,,370,96,32,240,36,0.86,,1173,,,,2020,cgwb_2020.pdf
84,W212822072483501,Gujarat,Bharuch,Hansot,Sahol,21.614072,72.910497,2020,7.6,5499,0,281,1390,360,298,,1781,521,117,390,3.1,0.68,,3684,,,,2020,cgwb_2020.pdf
85,W213115072491501,Gujarat,Bharuch,Hansot,Raymal,21.518961,72.819565,2020,7.9,3069,0,281,752,69,5.7,,600,76,100,340,14,0.61,,2056,,,,2020,cgwb_2020.pdf
86,W213320072531501,Gujarat,Bharuch,Ankleshwar,Motwan,21.55401,72.882616,2020,8.0,3445,0,464,794,287,3.3,,600,124,71,602,12,0.72,,2308,,,,2020,cgwb_2020.pdf
87,W213215072583001,Gujarat,Bharuch,Ankleshwar,Panoli,21.536823,72.9751,2020,7.9,2502,0,537,447,229,29,,260,40,39,495,0.75,1.6,,1676,,,,2020,cgwb_2020.pdf
88,W213450073040501,Gujarat,Bharuch,Valia,Kondh,21.577471,73.075975,2020,7.8,847,0,305,71,58,20,,200,48,19,97,6.3,0.99,,567,,,,2020,cgwb_2020.pdf
89,W220430071533001,Gujarat,Bhavnagar,Vallabhipur,Panvi1,22.070297,71.891905,2020,8.2,1798,0,940,106,52,2.9,,100,16,15,408,4.6,3.9,,1205,,,,2020,cgwb_2020.pdf
90,W205400071120001,Gujarat,Bhavnagar,Umrala,Timbi,21.822818,71.753465,2020,7.2,388,0,183,28,21,0.61,,120,32,10,40,1.7,0.45,,260,,,,2020,cgwb_2020.pdf
91,,Gujarat,Bhavnagar,Mahuva,Motivadal,21.191504,71.549098,2020,8.2,1273,0,476,170,81,28,,510,92,68,110,9.2,0.29,,853,,,,2020,cgwb_2020.pdf
92,W210815071393001,Gujarat,Bhavnagar,Mahuva,Dudhala,21.140915,71.651062,2020,8.2,1873,0,415,362,99,71,,370,44,63.232,287,6.7,0.50,,1255,,,,2020,cgwb_2020.pdf
93,W255955075410001,Gujarat,Bhavnagar,Mahuva,Mahuva,21.099956,71.747011,2020,8.2,4600,0,830,1014,190,68,,210,24,36.48,1007,1.9,0.87,,3082,,,,2020,cgwb_2020.pdf
94,W211128071554401,Gujarat,Bhavnagar,Mahuva,Bora,21.16294,71.872592,2020,8.6,1566,72,647,78,54,55,,70,16,7.296,364,1.7,2.0,,1049,,,,2020,cgwb_2020.pdf
95,W211315071570001,Gujarat,Bhavnagar,Talaja,Datha,21.213852,71.950052,2020,8.1,1228,0,366,213,51,7.3,,130,28,14.592,238,6.7,1.3,,823,,,,2020,cgwb_2020.pdf
96,W211250071530001,Gujarat,Bhavnagar,Mahuva,Longadi,21.213247,71.886063,2020,8.1,668,0,293,64,31,4.5,,150,36,14.592,85,27,0.57,,448,,,,2020,cgwb_2020.pdf
97,W211730071580001,Gujarat,Bhavnagar,Talaja,Pasvi,21.293417,71.966945,2020,7.8,805,0,342,64,46,31,,330,60,43.776,50,5.9,0.3,,539,,,,2020,cgwb_2020.pdf
98,W212246071585001,Gujarat,Bhavnagar,Talaja,Kundheli,21.394341,71.963773,2020,7.9,1203,0,244,241,83,32,,400,80,48.64,105,0.90,0.34,,806,,,,2020,cgwb_2020.pdf
99,W212200072010001,Gujarat,Bhavnagar,Talaja,Talaja2,21.365747,72.020761,2020,8.1,1240,0,415,142,61,94,,490,92,63,89,0.56,0.51,,831,,,,2020,cgwb_2020.pdf
100,W212530072054501,Gujarat,Bhavnagar,Talaja,Trapaj,21.424365,72.099832,2020,7.0,1518,0,317,163,160,185,,671,176,56,57,0.47,0.31,,1017,,,,2020,cgwb_2020.pdf
101,,Gujarat,Bhavnagar,Talaja,Vavdi,21.529157,72.148943,2020,7.4,1010,0,342,78,110,70,,400,52,66,65,0.99,0.36,,677,,,,2020,cgwb_2020.pdf
102,W214046072143901,Gujarat,Bhavnagar,Bhavnagar,Bhumbhali,21.684484,72.234347,2020,8.1,4605,0,696,858,637,7.7,,560,80,88,820,17,0.63,,3085,,,,2020,cgwb_2020.pdf
103,W214600072090001,Gujarat,Bhavnagar,Bhavnagar,Bhavnagar1,21.773634,72.145504,2020,7.8,1268,0,403,184,74,38,,250,60,24,208,0.77,0.38,,850,,,,2020,cgwb_2020.pdf
104,W213120071502001,Gujarat,Bhavnagar,Palitana,Palitana2,21.518444,71.832326,2020,7.2,950,0,366,113,51,10,,370,92,34,57,6.22,0.26,,637,,,,2020,cgwb_2020.pdf
105,W212530071544501,Gujarat,Bhavnagar,Palitana,Sajnasar,21.428723,71.914439,2020,7.8,895,0,378,78,49,27,,330,76,34,65,3.1,0.42,,600,,,,2020,cgwb_2020.pdf
106,W212837071482201,Gujarat,Bhavnagar,Palitana,Vadal,21.447377,71.853459,2020,7.8,1055,0,305,142,52,100,,410,72,56,80,0.48,0.32,,707,,,,2020,cgwb_2020.pdf
107,W220105071420001,Gujarat,Bhavnagar,Gadhada,Ningala,22.019153,71.702401,2020,8.1,598,0,256,57,32,8.4,,90,16,12,105,0.67,0.45,,401,,,,2020,cgwb_2020.pdf
108,W214800071303001,Gujarat,Bhavnagar,Gadhada,Dhasa,21.802794,71.512114,2020,8.2,861,0,305,92,48,39,,270,68,24,94,0.32,0.33,,577,,,,2020,cgwb_2020.pdf
109,W213235071335501,Gujarat,Bhavnagar,Gariadhar,Gariyadhar,21.54434,71.563631,2020,8.2,1523,0,207,319,142,94,,430,60,68,190,0.46,0.45,,1020,,,,2020,cgwb_2020.pdf
110,W213300071431501,Gujarat,Bhavnagar,Palitana,Panchpipla,21.544559,71.724855,2020,8.1,1156,0,366,170,73,26,,300,40,49,157,0.2,0.55,,775,,,,2020,cgwb_2020.pdf
111,,Gujarat,Bhavnagar,Palitana,Khijadiya,21.624198,71.710835,2020,8.2,2267,0,512,432,108,23,,280,40,44,390,0.16,1.28,,1519,,,,2020,cgwb_2020.pdf
112,W215800071344501,Gujarat,Bhavnagar,Gadhada,Gadhada2,21.964343,71.578697,2020,8.1,814,0,366,78,32,10,,290,80,22,69,7.97,0.31,,545,,,,2020,cgwb_2020.pdf
113,W220330071380001,Gujarat,Bhavnagar,Gadhada,Tatam,22.065693,71.629663,2020,8.1,5062,0,317,1283,288,365,,2022,289,316,322,1.52,0.48,,3392,,,,2020,cgwb_2020.pdf
114,W221345071361501,Gujarat,Bhavnagar,Botad,Tardhera,22.227122,71.607596,2020,8.2,1812,0,244,319,99,234,,661,116,90,114,1.04,0.42,,1214,,,,2020,cgwb_2020.pdf
115,W182720076052901,Gujarat,Chhota Udaipur,Sankheda,Govindpur,22.21554,73.73995,2020,8.0,6995,0,500,2028,488,20,,1591,148.296,297,1000,5.8,1.9,,4687,,,,2020,cgwb_2020.pdf
116,W221515073383001,Gujarat,Chhota Udaipur,Sankheda,Pitha,22.26467,73.65013,2020,8.0,865,0,293,113,18,47,,350,52.104,54,57,1.9,0.90,,580,,,,2020,cgwb_2020.pdf
117,W215845073563001,Gujarat,Chhota Udaipur,Nasvadi,Kaprali,21.97604,73.96454,2020,7.8,632,0,281,28,22,54,,270,68,24,36,1.5,0.67,,423,,,,2020,cgwb_2020.pdf
118,W220215073531501,Gujarat,Chhota Udaipur,Nasvadi,Sengpur,22.04427,73.88792,2020,7.7,541,0,268,28,14,22,,240,60,22,27,0.3,0.57,,362,,,,2020,cgwb_2020.pdf
119,W221200073540001,Gujarat,Chhota Udaipur,Jetpur Pavi,Bhindol,22.20112,73.89711,2020,8.2,1750,0,976,92,26,3.9,,350,28,68,285,0.77,4.0,,1173,,,,2020,cgwb_2020.pdf
120,W221115073591501,Gujarat,Chhota Udaipur,Kavant,Chavaria,22.16959,74.00017,2020,7.9,1449,0,439,199,55,101,,410,64,61,178,2.6,4.05,,971,,,,2020,cgwb_2020.pdf
121,W222200074123001,Gujarat,Chhota Udaipur,Chhota Udaipur,Ferkuva,22.36378,74.21427,2020,7.6,642,0,244,71,23,37,,300,88,19.456,17,3.4,0.45,,430,,,,2020,cgwb_2020.pdf
122,W223100073563001,Gujarat,Chhota Udaipur,Chhota Udaipur,Kevadi,22.52246,73.93426,2020,7.5,518,0,220,43,21,9.3,,190,60,9.728,39,0.22,0.93,,347,,,,2020,cgwb_2020.pdf
123,W222030073500001,Gujarat,Chhota Udaipur,Jetpur Pavi,Pavi,22.3406,73.83452,2020,8.0,2007,0,525,376,132,12,,480,128,38.912,258,10,0.95,,1345,,,,2020,cgwb_2020.pdf
124,W225400074030001,Gujarat,Dohad,Limkheda,Wadia,22.893669,74.04171,2020,8.1,2323,0,219,483,185,65,,800,208,68,160,10,1.7,,1556,,,,2020,cgwb_2020.pdf
125,W224200073550001,Gujarat,Dohad,Devgad Baria,Devgadh bariya,22.699751,73.916801,2020,8.2,918,0,220,142,67,16,,210,40,27,119,3.3,0.96,,615,,,,2020,cgwb_2020.pdf
126,W224215073501501,Gujarat,Dohad,Devgad Baria,Khandania,22.604332,73.89665,2020,7.9,699,0,317,28,20,24,,210,60,15,57,1.5,1.0,,468,,,,2020,cgwb_2020.pdf
127,W223615074021501,Gujarat,Dohad,Dhanpur,Tokarba,22.596748,74.0284,2020,8.0,981,0,378,107,37,4.0,,250,84,10,112,2.57,1.0,,657,,,,2020,cgwb_2020.pdf
128,W223450074065001,Gujarat,Dohad,Dhanpur,Kanjetha,22.579945,74.10946,2020,8.1,753,0,378,43,2,9.4,,210,68,10,77,3,0.97,,505,,,,2020,cgwb_2020.pdf
129,W223800074061501,Gujarat,Dohad,Dhanpur,Dhanpur,22.636005,74.098763,2020,8.0,1700,0,512,227,98,30,,600,184,34,117,11.6,1.3,,1139,,,,2020,cgwb_2020.pdf
130,W224050074184501,Gujarat,Dohad,Garbada,Garbara,22.684877,74.31502,2020,7.9,8180,0,463,1740,396,822,,1900,120,389,1079,28.5,6.8,,5481,,,,2020,cgwb_2020.pdf
131,W224345074183001,Gujarat,Dohad,Garbada,Panchwada,22.728977,74.30539,2020,8.2,907,0,390,64,24,24,,350,16,75,48,3.69,1.76,,608,,,,2020,cgwb_2020.pdf
132,W224800074163001,Gujarat,Dohad,Dahod,Varamkheda,22.775204,74.28864,2020,8.1,580,0,220,50,11,30,,240,28,41,24,1.54,1,,389,,,,2020,cgwb_2020.pdf
133,W225600074120001,Gujarat,Dohad,Jhalod,Mirakhedi,22.939819,74.201469,2020,8.1,863,0,256,85,50,32,,360,56,54,26,0.85,0.88,,578,,,,2020,cgwb_2020.pdf
134,W224930074140001,Gujarat,Dohad,Dahod,Dahod2,22.831169,74.232765,2020,8.0,1771,0,342,291,43,76,,440,28,90,160,2.27,2.3,,1187,,,,2020,cgwb_2020.pdf
135,W225015074040001,Gujarat,Dohad,Limkheda,Dadhela,22.840366,74.083466,2020,8.2,712,0,232,64,38,30,,260,36,41,43,4.36,1.26,,477,,,,2020,cgwb_2020.pdf
